NAME;SURNAME;WEB ADDRESS;AFFILIATION;CS;FP;Cmath;PT;CompA;AAG;ARAG;Calg;Cana;EAT;CertA
Jeremy;Avigad;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.andrew.cmu.edu/user/avigad/"">web site</a>";Carnegie Mellon University;;*;*;*;;;;;;;
Per;Martin-Löf;"<a onclick=""loadUrl(this.href); return false;"" href=""http://en.wikipedia.org/wiki/Per_Martin-L%C3%B6f"">web site</a>";;*;;*;*;;;;;;;
Peter;Aczel;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.cs.man.ac.uk/~petera/"">web site</a>";University of Manchester;;;*;*;;;;;;;
Jesús;Aransay;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.unirioja.es/cu/jearansa"">web site</a>";Universidad de La Rioja;;*;;;;;;;;*;*
Saugata;Basu;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.math.purdue.edu/~sbasu/"">web site</a>";Purdue University;;;;;;;*;;;;
Ulrich;Berger;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.cs.swan.ac.uk/~csulrich/"">web site</a>";Swansea University;;*;*;*;;;;;*;;
Sylvie;Boldo;"<a onclick=""loadUrl(this.href); return false;"" href=""https://www.lri.fr/~sboldo/"">web site</a>";Inria;;*;;;;;;;;;*
Douglas;Bridges;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.math.canterbury.ac.nz/~d.bridges/"">web site</a>";University of Canterbury;;;*;;;;;;*;;
Frederic;Chyzak;"<a onclick=""loadUrl(this.href); return false;"" href=""http://specfun.inria.fr/chyzak/"">web site</a>";Inria;;*;;;*;;;;;;*
Cyril;Cohen;"<a onclick=""loadUrl(this.href); return false;"" href=""http://perso.crans.org/cohen/"">web site</a>";University of Gothenburg;*;*;;;;;;;;;
Thierry;Coquand;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.cse.chalmers.se/~coquand/"">web site</a>";University of Gothenburg;*;*;*;;;;;*;;;
Michel;Coste;"<a onclick=""loadUrl(this.href); return false;"" href=""http://perso.univ-rennes1.fr/michel.coste"">web site</a>";Université de Rennes;;;;;;;*;*;;;
